code,system
G852100,readv2
G851.00,readv2
7609y11,readv2
G852000,readv2
G850.00,readv2
G852.00,readv2
G85..11,readv2
44424.0,readv2
1641.0,readv2
26319.0,readv2
96756.0,readv2
73139.0,readv2
62582.0,readv2
105611.0,readv2
10797.0,readv2
8363.0,readv2
30655.0,readv2
24989.0,readv2
I85,readv2
G852200,readv2
760C300,readv2
7609400.0,readv2
G852300,readv2
760F300,readv2
G17.4,readv2
G10.5,readv2
760C500,readv2
G852z00,readv2
G858.00,readv2
G10.1,readv2
761D800,readv2
G43.7,readv2
7609300.0,readv2
G10.4,readv2
7609y00,readv2
G10.8,readv2
G10.9,readv2
760F400,readv2
7609z00,readv2
7609.00,readv2
G10,readv2
Gyu9400,readv2
I98.2,readv2
I98.3,readv2
24220.0,readv2
107975.0,readv2
16759.0,readv2
11960.0,readv2
89717.0,readv2
62038.0,readv2
20912.0,readv2
20233.0,readv2
43404.0,readv2
46647.0,readv2
47214.0,readv2
G10.3,readv2
G10.2,readv2